code,province,city
10000,Seoul,Seoul
10010,Seoul,Gangnam-gu
10020,Seoul,Gangdong-gu
10030,Seoul,Gangbuk-gu
10040,Seoul,Gangseo-gu
10050,Seoul,Gwanak-gu
10060,Seoul,Gwangjin-gu
10070,Seoul,Guro-gu
10080,Seoul,Geumcheon-gu
10090,Seoul,Nowon-gu
10100,Seoul,Dobong-gu
10110,Seoul,Dongdaemun-gu
10120,Seoul,Dongjak-gu
10130,Seoul,Mapo-gu
10140,Seoul,Seodaemun-gu
10150,Seoul,Seocho-gu
10160,Seoul,Seongdong-gu
10170,Seoul,Seongbuk-gu
10180,Seoul,Songpa-gu
10190,Seoul,Yangcheon-gu
10200,Seoul,Yeongdeungpo-gu
10210,Seoul,Yongsan-gu
10220,Seoul,Eunpyeong-gu
10230,Seoul,Jongno-gu
10240,Seoul,Jung-gu
10250,Seoul,Jungnang-gu
11000,Busan,Busan
11010,Busan,Gangseo-gu
11020,Busan,Geumjeong-gu
11030,Busan,Gijang-gun
11040,Busan,Nam-gu
11050,Busan,Dong-gu
11060,Busan,Dongnae-gu
11070,Busan,Busanjin-gu
11080,Busan,Buk-gu
11090,Busan,Sasang-gu
11100,Busan,Saha-gu
11110,Busan,Seo-gu
11120,Busan,Suyeong-gu
11130,Busan,Yeonje-gu
11140,Busan,Yeongdo-gu
11150,Busan,Jung-gu
11160,Busan,Haeundae-gu
12000,Daegu,Daegu
12010,Daegu,Nam-gu
12020,Daegu,Dalseo-gu
12030,Daegu,Dalseong-gun
12040,Daegu,Dong-gu
12050,Daegu,Buk-gu
12060,Daegu,Seo-gu
12070,Daegu,Suseong-gu
12080,Daegu,Jung-gu
13000,Gwangju,Gwangju
13010,Gwangju,Gwangsan-gu
13020,Gwangju,Nam-gu
13030,Gwangju,Dong-gu
13040,Gwangju,Buk-gu
13050,Gwangju,Seo-gu
14000,Incheon,Incheon
14010,Incheon,Ganghwa-gun
14020,Incheon,Gyeyang-gu
14030,Incheon,Michuhol-gu
14040,Incheon,Namdong-gu
14050,Incheon,Dong-gu
14060,Incheon,Bupyeong-gu
14070,Incheon,Seo-gu
14080,Incheon,Yeonsu-gu
14090,Incheon,Ongjin-gun
14100,Incheon,Jung-gu
15000,Daejeon,Daejeon
15010,Daejeon,Daedeok-gu
15020,Daejeon,Dong-gu
15030,Daejeon,Seo-gu
15040,Daejeon,Yuseong-gu
15050,Daejeon,Jung-gu
16000,Ulsan,Ulsan
16010,Ulsan,Nam-gu
16020,Ulsan,Dong-gu
16030,Ulsan,Buk-gu
16040,Ulsan,Ulju-gun
16050,Ulsan,Jung-gu
17000,Sejong,Sejong
20000,Gyeonggi-do,Gyeonggi-do
20010,Gyeonggi-do,Gapyeong-gun
20020,Gyeonggi-do,Goyang-si
20030,Gyeonggi-do,Gwacheon-si
20040,Gyeonggi-do,Gwangmyeong-si
20050,Gyeonggi-do,Gwangju-si
20060,Gyeonggi-do,Guri-si
20070,Gyeonggi-do,Gunpo-si
20080,Gyeonggi-do,Gimpo-si
20090,Gyeonggi-do,Namyangju-si
20100,Gyeonggi-do,Dongducheon-si
20110,Gyeonggi-do,Bucheon-si
20120,Gyeonggi-do,Seongnam-si
20130,Gyeonggi-do,Suwon-si
20140,Gyeonggi-do,Siheung-si
20150,Gyeonggi-do,Ansan-si
20160,Gyeonggi-do,Anseong-si
20170,Gyeonggi-do,Anyang-si
20180,Gyeonggi-do,Yangju-si
20190,Gyeonggi-do,Yangpyeong-gun
20200,Gyeonggi-do,Yeoju-si
20210,Gyeonggi-do,Yeoncheon-gun
20220,Gyeonggi-do,Osan-si
20230,Gyeonggi-do,Yongin-si
20240,Gyeonggi-do,Uiwang-si
20250,Gyeonggi-do,Uijeongbu-si
20260,Gyeonggi-do,Icheon-si
20270,Gyeonggi-do,Paju-si
20280,Gyeonggi-do,Pyeongtaek-si
20290,Gyeonggi-do,Pocheon-si
20300,Gyeonggi-do,Hanam-si
20310,Gyeonggi-do,Hwaseong-si
30000,Gangwon-do,Gangwon-do
30010,Gangwon-do,Gangneung-si
30020,Gangwon-do,Goseong-gun
30030,Gangwon-do,Donghae-si
30040,Gangwon-do,Samcheok-si
30050,Gangwon-do,Sokcho-si
30060,Gangwon-do,Yanggu-gun
30070,Gangwon-do,Yangyang-gun
30080,Gangwon-do,Yeongwol-gun
30090,Gangwon-do,Wonju-si
30100,Gangwon-do,Inje-gun
30110,Gangwon-do,Jeongseon-gun
30120,Gangwon-do,Cheorwon-gun
30130,Gangwon-do,Chuncheon-si
30140,Gangwon-do,Taebaek-si
30150,Gangwon-do,Pyeongchang-gun
30160,Gangwon-do,Hongcheon-gun
30170,Gangwon-do,Hwacheon-gun
30180,Gangwon-do,Hoengseong-gun
40000,Chungcheongbuk-do,Chungcheongbuk-do
40010,Chungcheongbuk-do,Goesan-gun
40020,Chungcheongbuk-do,Danyang-gun
40030,Chungcheongbuk-do,Boeun-gun
40040,Chungcheongbuk-do,Yeongdong-gun
40050,Chungcheongbuk-do,Okcheon-gun
40060,Chungcheongbuk-do,Eumseong-gun
40070,Chungcheongbuk-do,Jecheon-si
40080,Chungcheongbuk-do,Jeungpyeong-gun
40090,Chungcheongbuk-do,Jincheon-gun
40100,Chungcheongbuk-do,Cheongju-si
40110,Chungcheongbuk-do,Chungju-si
41000,Chungcheongnam-do,Chungcheongnam-do
41010,Chungcheongnam-do,Gyeryong-si
41020,Chungcheongnam-do,Gongju-si
41030,Chungcheongnam-do,Geumsan-gun
41040,Chungcheongnam-do,Nonsan-si
41050,Chungcheongnam-do,Dangjin-si
41060,Chungcheongnam-do,Boryeong-si
41070,Chungcheongnam-do,Buyeo-gun
41080,Chungcheongnam-do,Seosan-si
41090,Chungcheongnam-do,Seocheon-gun
41100,Chungcheongnam-do,Asan-si
41110,Chungcheongnam-do,Yesan-gun
41120,Chungcheongnam-do,Cheonan-si
41130,Chungcheongnam-do,Cheongyang-gun
41140,Chungcheongnam-do,Taean-gun
41150,Chungcheongnam-do,Hongseong-gun
50000,Jeollabuk-do,Jeollabuk-do
50010,Jeollabuk-do,Gochang-gun
50020,Jeollabuk-do,Gunsan-si
50030,Jeollabuk-do,Gimje-si
50040,Jeollabuk-do,Namwon-si
50050,Jeollabuk-do,Muju-gun
50060,Jeollabuk-do,Buan-gun
50070,Jeollabuk-do,Sunchang-gun
50080,Jeollabuk-do,Wanju-gun
50090,Jeollabuk-do,Iksan-si
50100,Jeollabuk-do,Imsil-gun
50110,Jeollabuk-do,Jangsu-gun
50120,Jeollabuk-do,Jeonju-si
50130,Jeollabuk-do,Jeongeup-si
50140,Jeollabuk-do,Jinan-gun
51000,Jeollanam-do,Jeollanam-do
51010,Jeollanam-do,Gangjin-gun
51020,Jeollanam-do,Goheung-gun
51030,Jeollanam-do,Gokseong-gun
